,アップシュー,アップスタ,アップバン,アースカ,アースタ,アーハッ,アーバン,イジメキ,イチャスポ,イチャバカ,ウズキー,ウマバシ,ウロチョロ,ウンコン,ウンゴー,エンゲー,エンジン,エンスル,エントロ,エンドロ,エンペラ,オタクツ,オタクル,オチエン,オンフラ,オンボロ,カサコソ,カスカチャ,カスチビ,カステラ,カタキー,カタコト,カタブツ,カタンカタ,カチコチ,カチャカチ,カッキー,カックン,カッチリ,カッチンカッ,カッチー,カットボ,カップス,カップチ,カップラ,カップリ,カップル,カツクー,カラカン,カラコロ,カラコン,カラサワ,カランカラ,カランコロン,カリグラ,カリフラ,カンコン,カンテラ,カンドキ,カンドサ,カンドシ,カンパン,カンパー,カンフー,カンプン,カンベン,カーゴー,カーシュー,カースタ,カーチー,カードキ,カービラ,カーペッ,カーボー,カーリン,ガクブル,ガサゴソ,ガタゴト,ガタンガタ,ガタンゴトン,ガチャガチ,ガラクタ,ガラスポ,ガランガラ,ガリベン,ガンコン,ガンジー,ガンバタ,ガンポイ,ガーデン,ガープリン,ガーベラ,ガーポテ,ガーリン,キシスカ,キシブル,キチキン,キャッスル,キャッチー,キャーカッ,キューコン,キューデン,キューバリ,キューピッ,キラビー,キリカッ,キンカツ,キンキラ,キングサ,キングタ,キングダ,キングチャ,キングラ,キンコン,キンシッ,キンチッ,キンハー,キンピカ,キーカラ,キーキャー,キーゲー,キーシャン,キーパー,キーボン,キーボー,キーワー,クスカリ,クスカー,クスガー,クスクッ,クスクリ,クスグリ,クスシー,クスジュー,クスタッ,クスダブ,クスピン,クスフン,クスプリ,クダウン,クッキリ,クッキン,クッキー,クッサク,クラウン,クラサク,クラシッ,クラスカ,クラスタ,クラスラ,クリアー,クリコクリ,クリサク,クリスタ,クリリン,クルアプ,クルジャー,クルスー,クルトン,クルパー,クンドク,クーデレ,クーパー,クーポン,クーリン,グイニコ,グイベン,グスカー,グスクー,グスコン,グスタッ,グダグタ,グラウン,グラシー,グリゴリ,グルスー,グルマザ,グルメリ,グルングル,グーグル,グースカ,グータラ,グーパン,グーポー,ケラカン,ケロリン,ゲロウマ,ゲロハキ,ゲートボ,ゲームラ,コソドロ,コチョコチ,コッキン,コックリ,コットン,コテンパン,コリゴリ,コロチー,コロンブス,コンオメ,コンガリ,コンクリ,コンクー,コングラ,コンサラ,コンダク,コンチク,コントロ,コンドー,コンバン,コンパク,コンピュー,コンプリ,コンポコ,コンポタ,コンポテ,ゴチャゴチ,ゴワカリ,ゴーカー,ゴーグル,ゴージト,ゴージュー,ゴーンゴー,サクホロ,サヤフラ,サラツヤ,ザーアー,ザーサラ,ザービー,シックス,シックチャ,シックド,シッバシ,シナプス,シャンカシャ,シャンシャー,シャンパン,シャンビュー,シャンプー,シャンメリ,シャーペン,シュークリ,シュートコ,シュートボ,シーグラ,シーザー,シーズン,シーパン,シーフー,シーボタ,シーポー,シーリン,ジャングル,ジャンバリ,ジャンパー,ジャンピン,ジャンボサ,ジャンボチ,ジャーキー,ジャーシー,ジャースポ,ジューシー,ジューリン,ジリスク,ジンクス,ジングショ,ジングス,ジングル,ジンジャー,ジーガー,ジークッ,ジーゲー,ジーパン,スイオン,スイカサ,スイカッ,スイパラ,スカウト,スカウン,スカポリ,スクリーン,スクワー,スタグラ,スタジャン,スタチュー,スタハラ,スパシー,スパスタ,スパテラ,スポコン,スポスタ,スポブラ,スラブラ,スルポー,スレチッ,スーツケ,スーハー,スーパー,スープカ,スープス,ズタボロ,ズンバタ,ゼーハー,ソロジー,ソロパー,ソロリソロ,タッカー,タッキー,タックル,タッパー,タッフー,タップリ,タップン,ダブスタ,チップス,チビデブ,チャラグル,チャラブカ,チャラブラ,チャリンチャリ,チュッパチャ,チュンクッ,チョコカス,チョコカッ,チョコクッ,チョコクリ,チョココロ,チョコチッ,チョコパン,チョコブラ,チョコペン,チョコホイ,チラリチラ,チリパチ,チリンチリ,チングス,チンコン,チンスタ,チンタラ,チンチクリ,チンパチ,チンパン,チンピラ,チンプリ,チンプン,チンポー,チンワー,チーズタ,チーズバ,ツカワイ,ツラウツラ,ツラゴー,ツルスベ,ツルペタ,ツンカツ,ツンデレ,ツンボー,ツートン,ツーピー,ツーリン,テクノロ,テラシー,テラピー,デコイラ,デコチュー,デコピン,デコボコ,デブスパ,デンキャッ,デンコン,デンジャー,デンモク,トコトン,トコピー,トロチッ,トロピカ,トロフワ,トロベリ,トロポー,トロリン,トンカツ,トンタッ,トンチン,トンピン,ドカメラ,ドキハラ,ドキハー,ドキバキ,ドキワク,ドキンドキ,ドサクサ,ドシングル,ドスンドス,ドタウン,ドタバタ,ドタワー,ドロボー,ドンパチ,ドンヒー,ドンピシ,ドンリン,ドーピン,ドームラ,ニコチン,ニタリン,ノタウロ,ハッキリ,ハッハー,ハッピー,ハラドキ,ハードカ,ハードス,ハードボ,ハードロ,ハーハッ,ハーフラ,バカブス,バキボキ,バシャバシ,バタフラ,バタンバタ,バラジー,バリアー,バリカン,バリトン,バリパー,バンキン,バンザー,バンジー,バンチュー,バンパー,バンブー,パカブラ,パキポキ,パシャパシ,パチクリ,パッカー,パックリ,パッチリ,パッチン,パッツン,パラシュー,パリポリ,パンジー,パンスタ,パンチラ,パンツル,パンピー,パンプス,パンポー,パーカッ,パーカー,パーキン,パークリ,パーシー,パープル,パーボン,パーリン,ヒーカッ,ヒーリン,ヒールン,ビシバシ,ビシャビシ,ビショビシ,ビングダ,ビングル,ビンボー,ビーカス,ビーカー,ビーシッ,ビーチチ,ビードー,ビーフカ,ピクシー,ピッキン,ピックス,ピッシャー,ピッシー,ピッチリ,ピュンピョン,ピョンピョコ,ピリオド,ピンキリ,ピンギリ,ピンクサ,ピンクダ,ピンヒー,ピンポイ,ピンポン,ピンポー,ピーカン,ピーカー,ピーギャー,ピークタ,ピードク,ピーポー,フカメラ,フラフー,フラワー,フンスー,フンドシ,フンフー,フーハッ,ブカメラ,ブカワイ,ブスアー,ブスタッ,ブツアー,ブツクサ,ブラウン,ブラコン,ブラザー,ブラジャー,ブラジリ,ブラバン,ブラブカ,ブラボー,ブリカー,ブリザー,ブリホイ,ブルカッ,ブルガー,ブルクラ,ブルクリ,ブルコン,ブルシュー,ブルスタ,ブルチー,ブルドン,ブルドー,ブルパン,ブルピン,ブルピー,ブルベリ,ブルンブル,ブースタ,ブービー,ブーメラ,ブーンブン,プスクー,プススタ,プスピン,プスピー,プスブル,プチシュー,プチデブ,プチプラ,プラウト,プラカー,プラシー,プラトン,プリクラ,プリゲー,プリコッ,プリザー,プリチー,プリンクラ,プリンプリ,プルキー,プルギス,プルジュー,プルダブ,プルペン,プルメリ,プルルン,プルンプル,プンオタ,プンスカ,プンスク,プンテラ,プンワー,プークス,ヘタバリ,ヘナチョコ,ベリグリ,ベリスク,ベリバリ,ベロチュー,ベロンベロ,ベンジャー,ペコポン,ペチャクチャ,ペットク,ペットボ,ペットロ,ペッパー,ペラグラ,ペンイラ,ホクポテ,ホログラ,ボッサボサ,ボトムズ,ボンカラ,ボンキュッ,ボンクラ,ボンジュー,ボンビー,ボーカリ,ボードロ,ボーブリ,ボーリン,ボーリーン,ポタリポタ,ポチャポチ,ポツリポツ,ポリシー,ポロンポロ,ポンキー,ポンコツ,ポンポコ,ポーカー,ポージン,ポーツー,マザクラ,マザコン,マジシャン,マジスカ,マジスパ,マジドン,マルエン,マルガリ,マルチー,ムシャクシャ,ムズアップ,メキシコ,メチャクチャ,メラチー,メラワー,メリカン,メリクリ,モジャモジ,モリパー,ユルフワ,ヨロシク,リンカー,リンキャッ,リンキー,リンクサ,リンクス,リングサ,リングス,リングタ,リングリ,リンゴー,リンパン,リンピッ,リーンカー,リーンピー,ワイカラ,ワイトク,ワイトボ,ワイドシ,ワイドー,ワイパー,ワンカッ,ワンクッ,ワンクリ,ワンシー,ワンタッ,ワンツー,ワンドロ,ワンバン,ワンパタ,ワンパン,ワンピー,ワンポイ,ワンポー,ワンワー,ワーアップ,ワーカー,ワークス,ワーコン,ワーシー,ワースポ,ワードロ,ワーハラ,ワーバラ
N2238EQkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8072ERkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
N4634ETkata,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
N9538EGkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
N6939EBkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0481EYkata,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
N2713EKkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,
N4834EHkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
N7959ERkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0436EJkata,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,
N3578EWkata,,,,1.0,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,25.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,1.0,,,,,,8.0,,,,,,,,,,5.0,,,,,,,,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,16.0,,3.0,,,4.0,,13.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,4.0,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,,,,1.0,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,19.0,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,
N1462EYkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8252CGkata,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,12.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
